index,timestamp,user,service,message,year,month,day,hour,minute,second,microsecond,timezone
0,2024-08-04 10:09:51.167207+05:30,pranay,systemd[1]:,Sent signal SIGHUP to main process 1251 (rsyslogd) on client request.,2024,8,4,10,9,51,167207,UTC+05:30
1,2024-08-04 10:09:51.168614+05:30,pranay,rsyslogd:,"software=""rsyslogd"" swVersion=""8.2312.0"" x-pid=""1251"" x-info=""https://www.rsyslog.com""] rsyslogd was HUPed",2024,8,4,10,9,51,168614,UTC+05:30
2,2024-08-04 10:09:51.279388+05:30,pranay,systemd[1684]:,dbus.service - D-Bus User Message Bus...,2024,8,4,10,9,51,279388,UTC+05:30
3,2024-08-04 10:09:51.618484+05:30,pranay,avahi-daemon[1172]:,new address record for 2401:4900:1c8f:627e:a532:36ef:45e8:35f7 on wlp0s20f3.*.,2024,8,4,10,9,51,618484,UTC+05:30
4,2024-08-04 10:09:51.922620+05:30,pranay,systemd[1]:,Deactivated successfully.,2024,8,4,10,9,51,922620,UTC+05:30
5,2024-08-04 10:09:51.923613+05:30,pranay,systemd[1]:,logrotate.service - Rotate log files.,2024,8,4,10,9,51,923613,UTC+05:30
6,2024-08-04 10:09:51.924782+05:30,pranay,systemd[1]:,"Consumed 1.736s CPU time, 4.2M memory peak, 0B memory swap peak.",2024,8,4,10,9,51,924782,UTC+05:30
7,2024-08-04 10:09:52.472451+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"Log file renamed from ""/var/lib/gdm3/.local/share/xorg/Xorg.pid-1758.log"" to ""/var/lib/gdm3/.local/share/xorg/Xorg.0.log""",2024,8,4,10,9,52,472451,UTC+05:30
8,2024-08-04 10:09:52.481279+05:30,pranay,systemd[1]:,Deactivated successfully.,2024,8,4,10,9,52,481279,UTC+05:30
9,2024-08-04 10:09:52.543116+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,X Server 1.21.1.11,2024,8,4,10,9,52,543116,UTC+05:30
10,2024-08-04 10:09:52.543338+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"Protocol Version 11, Revision 0",2024,8,4,10,9,52,543338,UTC+05:30
11,2024-08-04 10:09:52.543506+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,Operating System: Linux pranay 6.8.0-39-generic #39-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 5 21:49:14 UTC 2024 x86_64,2024,8,4,10,9,52,543506,UTC+05:30
12,2024-08-04 10:09:52.543769+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,command line: BOOT_IMAGE=/boot/vmlinuz-6.8.0-39-generic root=UUID=ac7e2f61-ccdb-4ea3-a383-fbee24c6a6c9 ro quiet splash vt.handoff=7,2024,8,4,10,9,52,543769,UTC+05:30
13,2024-08-04 10:09:52.543924+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,2:21.1.12-1ubuntu1 (For technical support please see http://www.ubuntu.com/support),2024,8,4,10,9,52,543924,UTC+05:30
14,2024-08-04 10:09:52.544093+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,version of pixman: 0.42.2,2024,8,4,10,9,52,544093,UTC+05:30
15,2024-08-04 10:09:52.544248+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"reporting problems, check http://wiki.x.org",2024,8,4,10,9,52,544248,UTC+05:30
16,2024-08-04 10:09:52.544413+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,make sure that you have the latest version.,2024,8,4,10,9,52,544413,UTC+05:30
17,2024-08-04 10:09:52.544579+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"(--) probed, (**) from config file, (==) default setting,",2024,8,4,10,9,52,544579,UTC+05:30
18,2024-08-04 10:09:52.544749+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"from command line, (!!) notice, (II) informational,",2024,8,4,10,9,52,544749,UTC+05:30
19,2024-08-04 10:09:52.544874+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"warning, (EE) error, (NI) not implemented, (??) unknown.",2024,8,4,10,9,52,544874,UTC+05:30
20,2024-08-04 10:09:52.545038+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"Log file: ""/var/lib/gdm3/.local/share/xorg/Xorg.0.log"", Time: Sun Aug 4 10:09:52 2024",2024,8,4,10,9,52,545038,UTC+05:30
21,2024-08-04 10:09:52.591862+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"Using system config directory ""/usr/share/X11/xorg.conf.d""",2024,8,4,10,9,52,591862,UTC+05:30
22,2024-08-04 10:09:52.670377+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"ServerLayout ""layout""",2024,8,4,10,9,52,670377,UTC+05:30
23,2024-08-04 10:09:52.670628+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,No screen section available. Using defaults.,2024,8,4,10,9,52,670628,UTC+05:30
24,2024-08-04 10:09:52.670774+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"|-->Screen ""Default Screen Section"" (0)",2024,8,4,10,9,52,670774,UTC+05:30
25,2024-08-04 10:09:52.670926+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"| |-->Monitor ""<default monitor>""",2024,8,4,10,9,52,670926,UTC+05:30
26,2024-08-04 10:09:52.680122+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"No monitor specified for screen ""Default Screen Section"".",2024,8,4,10,9,52,680122,UTC+05:30
27,2024-08-04 10:09:52.680332+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,a default monitor configuration.,2024,8,4,10,9,52,680332,UTC+05:30
28,2024-08-04 10:09:52.680502+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,Allowing byte-swapped clients,2024,8,4,10,9,52,680502,UTC+05:30
